kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
EMI ZULFA MAULIDIYAH,Rini Winarti,A,Kurikulum 2013,Pagi,TPA ISLAM AR RASYID,18FFE6EC10AB356E3097,69816882,Swasta,TPA,Yayasan,421.9/3651/404.3.1/2012,2012-05-01,421.9/376/404.3.1/2015,2015-02-04,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816882 TPA ISLAM AR RASYID,Bersedia Menerima,Pagi,Proses Sertifikasi,PLN,10000,100 Mb,ZAINAL ABIDIN 15 RT. 01 RW. 01,Tambak sumur,Tambak Sumur,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-5,114,1,1
Yayuk Triworoningsih,MUHAMMAD KHUSNUL HUDA,A,Kurikulum 2013,Pagi,SDN TRAWAS 1,64F8B67021914CC42946,20502467,Negeri,SD,Pemerintah Daerah,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SDNTRAWASI...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1300,30 Mb,Jl. Pahlawan No.130,Trawas,Trawas,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,0,0
Mukarti,Chusnul Falid,A,Kurikulum 2013,Pagi,UPT SD NEGERI 307 GRESIK,F3750870D0B82B769ECE,20500211,Negeri,SD,Pemerintah Daerah,400/4059/437.53/ 2019,1978-01-01,400/4059/437.53/ 2019,2019-10-01,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG GRESIK...,UPTSDNEGERI307GRESIK...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,3200,30 Mb,Jl Raya Daendles,SEKAPUK,Sekapuk,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,1,1
ZUMAROH,Alvi Chasanah,B,Kurikulum 2013,Pagi,TPA MIFTAHUL JANNAH,8095BA2A4BC6DE13500D,69816790,Swasta,TPA,Yayasan,,,NO:421-9/836/404.3.14/200,,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816790 TPA MIFTAHUL JANNAH,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,50 Mb,JL.BRIGJEN KATAMSO NO.27A RT.04 RW.02 WEDORO,wedoro,WEDORO,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-7,112,4,2
Muslimin,SITI AISYAH,B,Kurikulum 2013,Pagi,UPT SD NEGERI 308 GRESIK,435D5B5E5448C4BB25A3,20500682,Negeri,SD,Pemerintah Daerah,400/4059/437.53/ 2019,1978-04-09,400/4059/437.53/ 2019,2019-10-01,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG SIDAYU...,UPTSDNEGERI308GRESIK...,Bersedia Menerima,Pagi,Proses Sertifikasi,PLN,2200,1 Gb,Jl. Sidomulyo No 1,,Tanjangawan,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,6,1
Jarmono,KRISTIANA FEBRIAN YUNITASARI,A,Kurikulum 2013,Pagi,SDN TRAWAS 2,D1F72771A47DD95D9628,20502468,Negeri,SD,Pemerintah Daerah,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,PERBUB NOMOR 24 TAHUN 2021,2021-03-04,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOSARI...,SDNTRAWAS2...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,899,10 Mb,Jalan Pahlawan No. 88 RT/RW : 01/02,Jaraan,Trawas,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,2,3
,,,,-,TPA ROBI AH AL ADAWIYAH,0370AF80FDD8EEC06108,69816898,Swasta,TPA,Yayasan,421.9/4076/404.3.1/2012,2012-12-05,421.1/1855/438.5.1/2020,2020-10-21,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816898 TPA ROBIAHALADAWIYAH,-,-,-,-,,,KEPUH KIRIMAN DALAM NO.60 RT.03 RW.01,Kepuh Kiriman,Kepuh Kiriman,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-7,112,3,1
IIN MARYANA,Suparmi,B,Kurikulum 2013,-,KB MENTARI KECIL,F6784B12D15D8D641DA1,69816491,Swasta,KB,Yayasan,421.9/4300/404.3.1/2012,2012-12-28,421.1/3039/438.5.1/2019,2019-08-29,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816491 KB MENTARI KECIL,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,Tidak Ada,PERUM TAS III BLOK L7 /32,Kemiri,Kepuh Kemiri,Kec. Tulangan,Kab. Sidoarjo,Prov. Jawa Timur,61273,-7,112,36,9
Muhammad Afif,LUKMAN HAKIM,B,Kurikulum 2013,Pagi,SDIT ROUDLATUL HIKMAH,EB7BF4F2670CCC104F64,20576372,Swasta,SD,Yayasan,421.1/876/437.53.2/2011,2011-06-08,503.2.17/04/437.74/2020,2020-02-01,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG SIDAYU...,SDITROUDLATULHIKMAH...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,2200,10 Mb,"Jln. Pendidikan Pangkahkulon, Ujungpangkah",Tegalsari,Pangkah Kulon,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,0,0
Habib,Qurrota A'yun,B,Kurikulum 2013,Sehari penuh (5 h/m),SDS MUHAMMADIYAH TRAWAS,467777800151B136EDBE,20502843,Swasta,SD,Yayasan,1195/I.5JTM.58/1978,1958-08-01,DE/045-IV/1978,1958-04-04,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG  MOJOSARI...,SDMUHAMMADIYAH...,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,1300,30 Mb,Trawas,Kesiman,KESIMAN,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,3,1
Mokhamad Jalil,AHMAD FAUJI,A,Kurikulum 2013,Pagi,SMPN 1 TRAWAS,8177C23F4851C3D2FF8C,20502636,Negeri,SMP,Pemerintah Pusat,034/01/1979,1979-07-03,-,1910-01-01,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SMPN1TRAWAS...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,16000,30 Mb,Jl. Kompi Murlan 6 Ketapanrame,Ketapanrame,Ketapanrame,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,1,1
Mulaikah Nairil Huda,dhian mardhianti swartika,,Kurikulum 2013,-,PAUD AS-SA IDAH,1832CBDCD661A673F501,69816835,Swasta,SPS,Yayasan,421-9/2554/404.3.14/2008,2008-08-14,421.9/016/404.3.1/2015,2015-01-06,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816835 PAUD AS SA IDAH,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,Tidak Ada,BUNGURASIH BARAT RT 04 RW 02 NO 05,BUNGURASIH BARAT,Bungurasih,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-7,112,4,2
Siti Maghfiroh,SULISTIAWATI,B,Kurikulum 2013,Pagi,SDNU AL MUSTANIROH,44315BD5E93FAEBB87FB,20558463,Swasta,SD,Yayasan,503.2.17/03/437.74/2020,2020-02-12,503.02/31/437.74/2016,2016-10-28,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG SIDAYU...,SDNUALMUSTANIROH...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1200,50 Mb,Dsn Druju Pangkahkulon Ujungpangkah,Druju,Pangkah Kulon,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,1,10
NURUL ISLAMIYAH,Nurul Hidayati,,Kurikulum 2013,-,KB NURUL ULUM,61DF1C1D2EC5142E0FA3,69816556,Swasta,KB,Yayasan,421.9/2201/404.3.1/2012,2012-07-04,421.1/343/438.5.1/2019,2015-09-03,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816556 KB NURUL ULUM,Bersedia Menerima,-,Belum Bersertifikat,PLN,900,50 Mb,JL. PATMOSARI NO. 03,Grabagan,Grabagan,Kec. Tulangan,Kab. Sidoarjo,Prov. Jawa Timur,61273,0,0,10,2
Muhammad Sudurul Amin,Abdul Majid,A,Kurikulum 2013,-,UPT SMP NEGERI 13 GRESIK,22C8BAA6656B1C09549B,20500502,Negeri,SMP,Pemerintah Daerah,400/4059/437.53/ 2019,1983-11-07,400/4059/437.53/ 2019,2019-10-01,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG GRESIK...,SMPN1UJUNGPANGKAH...,Bersedia Menerima,-,Belum Bersertifikat,PLN,16100,50 Mb,Jalan Raya Ujungpangkah,Pangkahkulon,Pangkah Kulon,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,4,11
Supriyadi,Kasan Basori,A,Kurikulum 2013,Pagi,SMPN 2 TRAWAS,B1E9618709B0A3C43F35,20502634,Negeri,SMP,Pemerintah Daerah,188.45/399/HK/416-012/2003,2003-04-11,188.45/399/HK/416-012/2003,2003-04-11,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SMPN2TRAWAS...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,4398,100 Mb,Trawas,Sendang,Penanggungan,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,1,1
ELA DWI AMELIA,Ela Dwi Amelia,B,Kurikulum 2013,-,KB PERMATA IBU,E5FF745AA5322662D6F8,69935013,Swasta,KB,Yayasan,421.9/4363/404.3.1/2012,2012-11-08,421.1/343/438.5.1/2019,2019-01-29,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69935013 PERMATA IBU,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,500 Mb,PERUMTAS III BLOK N3 NO 31&34,,Kepuh Kemiri,Kec. Tulangan,Kab. Sidoarjo,Prov. Jawa Timur,61237,0,0,28,7
santiani,Luluk Hidayati,,Kurikulum 2013,Pagi,POS PAUD AR-RISALAH,8D806974829DF6647590,69816786,Swasta,SPS,Lainnya,,,421.9/1610/404.3.1/2010,,Tidak ada,BPD JAWA TIMUR,SIDOARJO,69816786 POS PAUD AR RISALAH,Bersedia Menerima,Pagi,Belum Bersertifikat,Lainnya,450,Tidak Ada,PASAR NO 10-11 RT05 RW02,TAMBAK OSO,TAMBAK OSO,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-7,112,5,2
Muhammad Efendi,Dwianggoro Kasih,,Kurikulum 2013,Pagi,SMP DARUL QALAM,E473CFD33D715894BBCB,70030227,Swasta,SMP,Yayasan,503.8.2/4/437.74/2022,2022-06-21,503.8.2/4/437.74/2022,2022-06-21,Tidak ada,,,,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,10000,20 Mb,Jalan Sarijaya RT. 002 RW. 005,Sekapuk,Sekapuk,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,2,5
Imron Alfanani,Pertiwi Dwi Kumala,B,Kurikulum 2013,Pagi,SMP ISLAM PLUS ANNUR FATMAH,50D9189EB154CD3EC822,20567107,Swasta,SMP,Yayasan,188.45/121/HK416.012,2009-02-18,421.3/381/416-115.3/2023,2023-08-09,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SMPISLAMPLUSANNURFATMAH...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,2199,50 Mb,Jl. Raya Belik No 1,Belik,Belik,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,2,2
AYU RIDHO RIZA,AYU RIDHO RIZA,A,Kurikulum 2013,Pagi,KB SABITUL AZMI,48E3235E38103032B7AA,69816498,Swasta,KB,Yayasan,421.9/921/404.3.14/2002,2002-02-25,421.1/1033/438.5.1/2020,2020-03-27,"D1,F,K",BPD JAWA TIMUR,SIDOARJO,69816498 KB SABITUL AZMI,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,2200,30 Mb,JL. RAYA KENONGO NO 33,KENONGO,Kenongo,Kec. Tulangan,Kab. Sidoarjo,Prov. Jawa Timur,61273,0,0,4,2
RW PURWANINGTYAS,Putri Indah Wahyuni,,Kurikulum 2013,Pagi,POS PAUD Kuncup Mekar,FA9593C5D3398B73428D,70028577,Swasta,SPS,Yayasan,421.1/3398/404.5.1/2017,2017-04-14,421.1/1542/438.5.1/2022,2022-04-25,Tidak ada,BPD JAWA TIMUR,SIDOARJO,70028577 POS PAUD KUNCUP MEKAR,Bersedia Menerima,Pagi,9001:2008,PLN,1300,3 Mb,Jl. Rusunawa Dsn. Tambak Jabon RT. 07 RW 02 Tambak   Sawah,tambak sawah,Tambak Sawah,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,0,0,7,2
ADIB MUZAMMIL,Muhammad Yasir Arafat,,Kurikulum 2013,Pagi,SMP IM SUMBER TERANG,408C29234683D5622C89,70030306,Swasta,SMP,Yayasan,503.8.2/03/437.74/2022,2022-06-21,503.8.2/03/437.74/2022,2022-06-21,Tidak ada,,,,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,4999,50 Mb,Jalan Sitarda RT. 003 RW. 006,Bolo,Bolo,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,2,5
Silfi Ariani,SOLIKIN SLAMET,A,Kurikulum 2013,-,SMAN 1 TRAWAS,5FC2BC3B55CD66771797,20502728,Negeri,SMA,Pemerintah Daerah,198.15/400/HK/416-012/2003,2003-04-11,198.15/400/HK/416-012/2003,2003-04-11,Tidak ada,Bank Jatim,Mojokerto,UPTSP SMAN 1 Trawas,Bersedia Menerima,-,Belum Bersertifikat,PLN,22995,100 Mb,JL. JOLOTUNDO NO. 2,Sendang,Penanggungan,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,1,1
SITI DYAH PURWATININGSIH,"ALVI ALIYANTI DWI ANGGRAINI, MP.d.",,Kurikulum 2013,Pagi,KB SHAFA WA MARWAH,DE47107D5232ACCE6B43,70036615,Swasta,KB,Yayasan,188.4/4266/438.5.1/2022,2022-10-21,188.4/4266/438.5.1/2022,2022-10-21,Tidak ada,,,,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,1200,30 Mb,Jl. Dewi Sartika RT 02 RW 02,,Tulangan,Kec. Tulangan,Kab. Sidoarjo,Prov. Jawa Timur,61273,0,0,2,2
PLT - Bambang Guridno,Junita Indah Muwahidah,A,Kurikulum 2013,Kombinasi,SD NEGERI BERBEK,FF20A542058E8D9E9F44,20502365,Negeri,SD,Pemerintah Pusat,400/224/404.8.6.12/2017,1981-01-01,-,1910-01-01,Tidak ada,BANK JATIM,SIDOARJO,SD NEGERI BERBEK,Bersedia Menerima,Kombinasi,Belum Bersertifikat,PLN,16100,100 Mb,Jl. Berbek  I G  No. 1,Berbek,Berbek,Kec. Waru,Kab. Sidoarjo,Prov. Jawa Timur,61256,-7,112,2,5
Jalaludin,wahlul uqdad,B,Kurikulum 2013,Pagi,SMP MAARIF NU AL FATTAH,A0ED06DC149E23179ADA,20500484,Swasta,SMP,Yayasan,77,2020-09-10,503.2.17/81/437.74/2020,2020-10-20,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG GRESIK...,SMPMAARIFNUALFATTAH...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,3500,30 Mb,Jl. Pendidikan No.23 Banyuurip,BONDOT,Banyuurip,Kec. Ujung Pangkah,Kab. Gresik,Prov. Jawa Timur,61154,-6,112,3,9
"Nur Annidaul Muslimah, S.pd",Eka Wulansari,B,Kurikulum 2013,Sore,SMAS YPD TRAWAS,623B0E55C3F030C900F5,20549684,Swasta,SMA,Yayasan,AHU-0009772.AH.01.04.Tahun 2016,2016-02-19,P2T/897/19.03/01/X/2019,2019-10-31,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG MOJOKERTO...,SMASYPDTRAWAS...,Bersedia Menerima,Sore,Belum Bersertifikat,PLN,4400,20 Mb,Jl. Dr. Saleh No. 5,JARAAN,Trawas,Kec. Trawas,Kab. Mojokerto,Prov. Jawa Timur,61375,-7,112,3,4
